The Ten Books on Architecture,Vitruvius Pollio
How to build a house : an architectural novelette,Eug®®ne-Emmanuel Viollet-le-Duc
The Seven Lamps of Architecture,John Ruskin
"The Stones of Venice, Volume 1 (of 3)",John Ruskin
Carpentry for Boys,James Slough Zerbe
Vision and Design,Roger Fry
Bell's Cathedrals: The Cathedral Church of Ely,W. D. Sweeting
"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",Clara Erskine Clement Waters
Architecture: Gothic and Renaissance,T. Roger Smith
"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",Clara Erskine Clement Waters
A Text-Book of the History of Architecture,A. D. F. Hamlin
"The Stones of Venice, Volume 2 (of 3),",John Ruskin
ÎÖ–Œºy’¬ (»’”Ô),John Meade Falkner
France,Gordon Home
Rural Architecture,Lewis Falley Allen
The Poetry of Architecture,John Ruskin
Architecture: Classic and Early Christian,T. Roger Smith and John Slater
Scottish Cathedrals and Abbeys,Dugald Butler
Illustrations of Universal Progress: A Series of Discussions,Herbert Spencer
Colonial Homes in North Carolina,John V. Allcott
Japanese Homes and Their Surroundings,Edward Sylvester Morse
"Lectures on Architecture and Painting, Delivered at Edinburgh in November 1853",John Ruskin
Old St. Paul's Cathedral,William Benham
Bell's Cathedrals: The Cathedral Church of Saint Albans,Rev. Thomas Perkins
An Illustrated Dictionary of Words used in Art and Archaeology,John W. Mollett
